C;gamma;kernel;degree;fit_time;score_time;accuracy;recall;precision;f1
1.0;scale;rbf;3;39.44041045506796;33.48010071118673;0.7318162049568375;0.6853865308726407;0.7551560135326848;0.7185813497740933
0.1;scale;rbf;3;39.58291300137838;34.95723001162211;0.7274702818290565;0.6769552267350954;0.7526332576051638;0.7127902654818149
0.01;scale;rbf;3;43.23784844080607;40.51378035545349;0.7058149739280378;0.6616416444854569;0.7253502578075112;0.6920325068484967
10.0;scale;rbf;3;42.72202801704407;31.871950308481853;0.7319204015251269;0.6879785272277444;0.7538804133236718;0.7194221914065052
100.0;scale;rbf;3;75.67511781056722;31.47689477602641;0.7300599848099325;0.6786832207547935;0.7560076178520235;0.7152598168689343
0.01;scale;linear;3;28.6545303662618;9.064587990442911;0.7166054198499298;0.6326233785823515;0.7598753494565375;0.6904324383108368
0.1;scale;linear;3;27.248829126358032;8.144534031550089;0.7235261782972794;0.6350068181504215;0.7711673585346893;0.6964883523235258
1.0;scale;linear;3;27.56288035710653;7.958314975102742;0.7244340486134421;0.6357813937384384;0.7723625920169036;0.6974428244539409
10.0;scale;linear;3;34.790420611699425;8.054961522420248;0.7242108004417377;0.6353047058248243;0.7722575574780111;0.6971136275748275
100.0;scale;linear;3;63.27264245351156;8.052818695704142;0.7242108004417377;0.6352749146608837;0.7722779152364955;0.6971037583259138
0.01;scale;sigmoid;3;67.00804416338603;20.19565765062968;0.476997728369145;0.4723669646390174;0.4763437872938958;0.4743391267328837
0.1;scale;sigmoid;3;58.76480762163798;17.63563632965088;0.466668668381653;0.4650676421850934;0.466143229364715;0.4655885727911783
1.0;scale;sigmoid;3;52.455407540003456;17.16629234949748;0.4658947346081454;0.4658720435531692;0.4654774648038684;0.4656562025803266
10.0;scale;sigmoid;3;51.91377758979797;17.105072498321533;0.4659096168892422;0.4658422550520067;0.465488807285567;0.4656472320570423
100.0;scale;sigmoid;3;50.89556129773458;17.26909637451172;0.4658798503334411;0.4658720462159476;0.4654630450792879;0.4656490999883307
0.01;scale;poly;2;32.13703751564026;10.147212902704874;0.7155040366846773;0.6214807137255646;0.7649476488936721;0.6857888279409786
0.1;scale;poly;2;31.06306942303976;9.253762563069662;0.7280507293349098;0.6439743951922408;0.7737073520430768;0.7029034776083011
1.0;scale;poly;2;31.69643998146057;8.978286345799765;0.7289288330952713;0.6466259046429895;0.7735963524624877;0.7044348311202103
10.0;scale;poly;2;38.71309399604797;8.829998254776001;0.728794880603755;0.6475494520273803;0.7727475880227068;0.704628404101264
100.0;scale;poly;2;103.70019777615865;8.785727580388388;0.728973482596705;0.6485922146603222;0.7723983888872811;0.7051004013614697
0.01;scale;poly;3;31.64839768409729;10.00777268409729;0.714283602580546;0.6085208011822821;0.7712817888579527;0.680301274198622
0.1;scale;poly;3;31.099942604700725;9.299488385518393;0.7259819274575672;0.6413823722093537;0.771559313346034;0.700473272126663
1.0;scale;poly;3;32.99092070261637;8.985165357589722;0.7294051126078781;0.6605094657562393;0.7656431942825472;0.7092003886075426
10.0;scale;poly;3;55.996575355529785;8.765097777048746;0.7311315794896996;0.6709369775861913;0.7623546293835947;0.7137293928165764
100.0;scale;poly;3;261.0439582665761;8.68638801574707;0.7308041447177444;0.6719499250901876;0.7611888343687179;0.7137908704500662
0.01;scale;poly;4;32.286176443099976;10.018132289250692;0.7140454548498121;0.6064352279863882;0.7722561246306219;0.679372092603673
0.1;scale;poly;4;31.908135890960693;9.301127274831137;0.725728905420167;0.6442127298293236;0.7692561786326283;0.7012023031877508
1.0;scale;poly;4;38.64338699976603;8.962382713953653;0.7282441969955594;0.6584239777692519;0.7648661323787668;0.7076635317906338
10.0;scale;poly;4;107.83888967831928;8.82317558924357;0.7294646410677291;0.6654849229816399;0.7627240679578774;0.7107927120197283
100.0;scale;poly;4;756.8843989372253;8.651501019795736;0.728750232431393;0.6641442487092901;0.7622800366631952;0.7098329985431683
1.0;scale;poly;5;55.61792953809103;9.05823024113973;0.7273511976633834;0.661462830932354;0.7614398172559164;0.7079387889662732
0.01;scale;poly;5;31.896545966466267;10.090550899505615;0.7132864060155447;0.6027706938110716;0.7733177001623587;0.6774726794972833
0.1;scale;poly;5;33.791703859965004;9.430648485819498;0.7245531161657182;0.6413227952070288;0.7689486727441963;0.6993606361282642
10.0;scale;poly;5;266.35721985499066;8.841165701548258;0.7268600498249335;0.6636080130839127;0.7593075325365467;0.7082346422290788
0.01;0.01;linear;3;29.46207006772359;9.113796710968018;0.7166054198499298;0.6326233785823515;0.7598753494565375;0.6904324383108368
0.1;0.01;linear;3;27.472327788670857;8.290656805038452;0.7235261782972794;0.6350068181504215;0.7711673585346893;0.6964883523235258
1.0;0.01;linear;3;28.33193651835124;8.115054289499918;0.7244340486134421;0.6357813937384384;0.7723625920169036;0.6974428244539409
10.0;0.01;linear;3;34.033072312672935;8.210378090540567;0.7242108004417377;0.6353047058248243;0.7722575574780111;0.6971136275748275
0.01;0.1;linear;3;29.657219250996903;9.31584636370341;0.7166054198499298;0.6326233785823515;0.7598753494565375;0.6904324383108368
0.1;0.1;linear;3;28.00731921195984;8.278293132781982;0.7235261782972794;0.6350068181504215;0.7711673585346893;0.6964883523235258
1.0;0.1;linear;3;28.10176181793213;8.055531660715738;0.7244340486134421;0.6357813937384384;0.7723625920169036;0.6974428244539409
10.0;0.1;linear;3;32.76365462938944;7.97502605120341;0.7242108004417377;0.6353047058248243;0.7722575574780111;0.6971136275748275
0.01;1;linear;3;29.112684567769367;9.186217387517294;0.7166054198499298;0.6326233785823515;0.7598753494565375;0.6904324383108368
0.1;1;linear;3;27.250662724177044;8.20794129371643;0.7235261782972794;0.6350068181504215;0.7711673585346893;0.6964883523235258
1.0;1;linear;3;27.768548329671223;8.041752020517984;0.7244340486134421;0.6357813937384384;0.7723625920169036;0.6974428244539409
10.0;1;linear;3;32.64847858746847;7.962992588678996;0.7242108004417377;0.6353047058248243;0.7722575574780111;0.6971136275748275
0.01;10;linear;3;29.303365071614586;9.177398125330608;0.7166054198499298;0.6326233785823515;0.7598753494565375;0.6904324383108368
0.1;10;linear;3;27.32332968711853;8.148098866144815;0.7235261782972794;0.6350068181504215;0.7711673585346893;0.6964883523235258
1.0;10;linear;3;28.1255468527476;8.015727758407593;0.7244340486134421;0.6357813937384384;0.7723625920169036;0.6974428244539409
10.0;10;linear;3;32.56085507074992;7.967084328333537;0.7242108004417377;0.6353047058248243;0.7722575574780111;0.6971136275748275
0.01;0.01;rbf;3;51.74829546610514;52.68873826662699;0.5708969928472732;0.2034261164595499;0.7652786885047113;0.3214103998547672
0.1;0.01;rbf;3;47.34868025779724;45.388657093048096;0.6863028507348021;0.5892745057007368;0.7306805835359452;0.6523962263958601
1.0;0.01;rbf;3;41.88169995943705;38.08149600028992;0.7213680986822176;0.6365858110831842;0.7661207167476731;0.6953697139762576
10.0;0.01;rbf;3;41.158036629358925;35.366868336995445;0.7273363120596072;0.640726985242105;0.774536735710523;0.7013011044179954
0.01;0.1;rbf;3;47.03237541516622;45.60112547874451;0.6816889874035867;0.5890361497614273;0.7225291187766348;0.6489818309180672
0.1;0.1;rbf;3;42.19598611195882;38.51189096768697;0.7211597294689307;0.6456130450106783;0.7600884255311199;0.6981863685468452
1.0;0.1;rbf;3;40.46712096532186;34.958066860834755;0.7294199909017595;0.6550573605588997;0.76907948805402;0.7075011946137469
10.0;0.1;rbf;3;40.40906055768331;33.813097635904946;0.7295390538022843;0.6776701694024424;0.7557091157924654;0.7145646679536745
0.01;1;rbf;3;44.1854837735494;41.24954024950663;0.7050708033876519;0.6729034074285488;0.7187713842586069;0.6950808980728428
0.1;1;rbf;3;39.75772285461426;35.19794305165609;0.7271279621178608;0.6805005429990824;0.7500901772491662;0.7136026588989268
1.0;1;rbf;3;39.29204519589742;32.72321438789368;0.7311464511382223;0.6888127011203128;0.7521384237969236;0.7190839233500284
10.0;1;rbf;3;44.37896180152893;31.915701548258465;0.731027401528415;0.684433205638201;0.7543744007043949;0.7177034697511381
0.01;10;rbf;3;45.72774322827657;41.87165443102519;0.689726019936252;0.7662147463193986;0.6642457853696874;0.7115921192119382
0.1;10;rbf;3;41.60165603955587;35.07419641812643;0.7214573604710756;0.720393169551803;0.7215780229230614;0.7209805121099552
1.0;10;rbf;3;54.73249554634094;32.520698149998985;0.7275446859246454;0.6888424763075837;0.7462569680343348;0.7163977743766846
10.0;10;rbf;3;108.76462523142496;31.6280783812205;0.7212341322354477;0.6698941590349042;0.7461491580367112;0.7059644752641371
0.01;0.01;poly;3;38.98858221371969;13.985780636469524;0.5004390601868793;0.0;0.0;0.0
0.1;0.01;poly;3;38.69440547625224;13.975099325180054;0.5004390601868793;0.0;0.0;0.0
1.0;0.01;poly;3;39.76765386263529;13.895434220631918;0.5004390601868793;0.0;0.0;0.0
10.0;0.01;poly;3;40.048135916392006;13.831461350123089;0.5429906730076255;0.1198570180702208;0.7755754738658136;0.2076212442283771
0.01;0.1;poly;3;40.09514927864075;13.605208079020182;0.5429906730076255;0.1198570180702208;0.7755754738658136;0.2076212442283771
0.1;0.1;poly;3;36.6924143632253;12.165517330169678;0.6398666309444073;0.4131981555807908;0.7550077408485126;0.5340806036604003
1.0;0.1;poly;3;33.22635014851888;10.49549674987793;0.7008885408280306;0.5770593988837569;0.7664904441471925;0.6584174400331492
10.0;0.1;poly;3;31.022611220677693;9.40437912940979;0.7223801575922391;0.6305675592715018;0.7719383103177971;0.6941279018339297
0.01;1;poly;3;30.854660193125408;9.515648285547892;0.7224248077582086;0.6305973504354426;0.772002940525074;0.6941720575288683
0.1;1;poly;3;31.95853551228841;8.950026432673136;0.7276488692022172;0.6505288160598424;0.7687288700035718;0.7047059235756795
1.0;1;poly;3;37.67523988087972;8.748052835464478;0.7303129908984713;0.666527605731232;0.7635742512064337;0.7117558587694952
10.0;1;poly;3;104.11201516787212;8.60501535733541;0.7316673768295833;0.6734395631705761;0.7617946346339401;0.7148973436229938
0.01;10;poly;3;108.50006000200908;8.863465547561646;0.7317269099411855;0.673528941987955;0.7618447388391986;0.7149698069081344
0.01;10;sigmoid;3;67.7201140721639;29.770130793253585;0.5003051096889707;5.958499065987897e-05;0.15;0.0001191220712924
0.1;10;sigmoid;3;72.42300089200337;30.964402675628666;0.491166699971876;0.0079844792828869;0.2306824513861024;0.0154341328295011
1.0;10;sigmoid;3;65.73443484306335;27.63907726605733;0.4089806439809373;0.1977355488117676;0.3417337261761821;0.2504956241096117
10.0;10;sigmoid;3;44.87651594479879;19.50324050585429;0.3887392006306903;0.3824219846690218;0.3868817730256026;0.3846330543899989
0.01;0.01;sigmoid;3;48.17711536089579;18.80932847658793;0.5004390601868793;0.0;0.0;0.0
0.1;0.01;sigmoid;3;46.03875247637431;16.928889989852905;0.6578904436255218;0.4931922024605371;0.7348320516524173;0.5902164631740686
1.0;0.01;sigmoid;3;41.6159405708313;14.32843255996704;0.7166054205144657;0.632682960910233;0.7598378324443346;0.6904526727863983
10.0;0.01;sigmoid;3;39.41841093699137;12.715644121170044;0.7234964130705501;0.6349770296492592;0.7711310717525076;0.6964554535509005
0.01;0.1;sigmoid;3;51.71067468325297;17.836727778116863;0.6553900323376186;0.4872038270217019;0.7335247616568542;0.585492882271898
0.1;0.1;sigmoid;3;47.8819854259491;15.04191287358602;0.7158612612711898;0.631938152521152;0.758941207333825;0.6896391769430332
1.0;0.1;sigmoid;3;60.62271396319071;10.59848952293396;0.6731310298440966;0.6291672733807089;0.6895232089644131;0.6579318210319455
10.0;0.1;sigmoid;3;54.23341004053752;7.706037759780884;0.6269329351902156;0.6248771886693159;0.6270617273473181;0.6259539044527022
0.01;1;sigmoid;3;84.60240411758423;20.416548013687134;0.4676360791193126;0.46599121087171064;0.46709094678027935;0.4665262607671994
0.1;1;sigmoid;3;66.39506824811299;18.554543336232502;0.4641235863271678;0.46357794552358156;0.4636430521479313;0.4635961970012965
1.0;1;sigmoid;3;61.60644769668579;18.319929520289104;0.463930102717657;0.463726914657177;0.46347474197804406;0.4635872050188496
10.0;1;sigmoid;3;61.163846492767334;18.296714544296265;0.4639598706025298;0.46369712615601455;0.463500020569179;0.4635850990831621
